file_size, io_size,thread_count,test_type,run_time(s),throughput_MB_per_s
268435456, 1024, 1, Sequential Read, 1.06, 1211.61
268435456, 1024, 1, Sequential Write, 0.47, 2741.61
268435456, 1024, 1, Random Read, 0.69, 1852.79
268435456, 1024, 1, Random Write, 0.88, 1459.53
268435456, 2048, 1, Sequential Read, 0.22, 5786.71
268435456, 2048, 1, Sequential Write, 0.26, 4929.26
268435456, 2048, 1, Random Read, 0.36, 3580.97
268435456, 2048, 1, Random Write, 0.47, 2726.01
268435456, 4096, 1, Sequential Read, 0.15, 8366.71
268435456, 4096, 1, Sequential Write, 0.20, 6454.91
268435456, 4096, 1, Random Read, 0.21, 6074.36
268435456, 4096, 1, Random Write, 0.26, 4862.22
268435456, 8192, 1, Sequential Read, 0.12, 10755.57
268435456, 8192, 1, Sequential Write, 0.17, 7742.40
268435456, 8192, 1, Random Read, 0.15, 8473.97
268435456, 8192, 1, Random Write, 0.20, 6379.62
268435456, 2097152, 1, Sequential Read, 0.09, 13488.04
268435456, 2097152, 1, Sequential Write, 0.15, 8523.31
268435456, 2097152, 1, Random Read, 0.10, 13361.43
268435456, 2097152, 1, Random Write, 0.15, 8765.76
268435456, 1024, 2, Sequential Read, 1.05, 2433.40
268435456, 1024, 2, Sequential Write, 0.49, 5172.08
268435456, 1024, 2, Random Read, 0.95, 2687.45
268435456, 1024, 2, Random Write, 1.09, 2352.32
268435456, 2048, 2, Sequential Read, 0.24, 10864.01
268435456, 2048, 2, Sequential Write, 0.28, 9135.04
268435456, 2048, 2, Random Read, 0.47, 5455.10
268435456, 2048, 2, Random Write, 0.59, 4332.73
268435456, 4096, 2, Sequential Read, 0.17, 14738.00
268435456, 4096, 2, Sequential Write, 0.23, 11275.84
268435456, 4096, 2, Random Read, 0.27, 9465.49
268435456, 4096, 2, Random Write, 0.32, 8004.93
268435456, 8192, 2, Sequential Read, 0.14, 18821.64
268435456, 8192, 2, Sequential Write, 0.20, 12809.21
268435456, 8192, 2, Random Read, 0.19, 13821.37
268435456, 8192, 2, Random Write, 0.26, 10037.14
268435456, 2097152, 2, Sequential Read, 0.11, 22408.35
268435456, 2097152, 2, Sequential Write, 0.19, 13370.33
268435456, 2097152, 2, Random Read, 0.11, 22518.46
268435456, 2097152, 2, Random Write, 0.19, 13547.16
268435456, 1024, 4, Sequential Read, 5.06, 1012.67
268435456, 1024, 4, Sequential Write, 0.52, 9940.34
268435456, 1024, 4, Random Read, 1.32, 3882.89
268435456, 1024, 4, Random Write, 1.53, 3341.49
268435456, 2048, 4, Sequential Read, 0.27, 19157.73
268435456, 2048, 4, Sequential Write, 0.40, 12930.69
268435456, 2048, 4, Random Read, 0.74, 6936.61
268435456, 2048, 4, Random Write, 0.85, 6022.26
268435456, 4096, 4, Sequential Read, 0.22, 23657.02
268435456, 4096, 4, Sequential Write, 0.31, 16444.17
268435456, 4096, 4, Random Read, 0.38, 13491.16
268435456, 4096, 4, Random Write, 0.48, 10709.35
268435456, 8192, 4, Sequential Read, 0.18, 28197.76
268435456, 8192, 4, Sequential Write, 0.30, 17263.36
268435456, 8192, 4, Random Read, 0.25, 20338.58
268435456, 8192, 4, Random Write, 0.38, 13408.10
268435456, 2097152, 4, Sequential Read, 0.17, 29807.61
268435456, 2097152, 4, Sequential Write, 0.25, 20818.78
268435456, 2097152, 4, Random Read, 0.17, 29752.65
268435456, 2097152, 4, Random Write, 0.25, 20775.59
268435456, 1024, 8, Sequential Read, 2.25, 4550.47
268435456, 1024, 8, Sequential Write, 0.77, 13301.67
268435456, 1024, 8, Random Read, 2.82, 3625.33
268435456, 1024, 8, Random Write, 2.87, 3563.06
268435456, 2048, 8, Sequential Read, 0.35, 29296.10
268435456, 2048, 8, Sequential Write, 0.81, 12674.89
268435456, 2048, 8, Random Read, 1.93, 5307.78
268435456, 2048, 8, Random Write, 2.15, 4757.41
268435456, 4096, 8, Sequential Read, 0.36, 28635.28
268435456, 4096, 8, Sequential Write, 1.08, 9506.87
268435456, 4096, 8, Random Read, 0.86, 11915.55
268435456, 4096, 8, Random Write, 1.13, 9079.87
268435456, 8192, 8, Sequential Read, 0.31, 32692.46
268435456, 8192, 8, Sequential Write, 0.58, 17559.34
268435456, 8192, 8, Random Read, 0.52, 19652.49
268435456, 8192, 8, Random Write, 0.71, 14498.05
268435456, 2097152, 8, Sequential Read, 0.59, 17408.28
268435456, 2097152, 8, Sequential Write, 0.59, 17372.78
268435456, 2097152, 8, Random Read, 0.58, 17635.02
268435456, 2097152, 8, Random Write, 0.58, 17640.07
268435456, 1024, 16, Sequential Read, 5.08, 4029.43
268435456, 1024, 16, Sequential Write, 3.23, 6337.12
268435456, 1024, 16, Random Read, 8.99, 2277.31
268435456, 1024, 16, Random Write, 10.36, 1976.34
268435456, 2048, 16, Sequential Read, 0.62, 32861.86
268435456, 2048, 16, Sequential Write, 2.72, 7521.47
268435456, 2048, 16, Random Read, 4.30, 4759.53
268435456, 2048, 16, Random Write, 5.73, 3576.90
268435456, 4096, 16, Sequential Read, 0.57, 35873.21
268435456, 4096, 16, Sequential Write, 2.81, 7299.89
268435456, 4096, 16, Random Read, 1.79, 11438.00
268435456, 4096, 16, Random Write, 3.45, 5939.72
268435456, 8192, 16, Sequential Read, 0.57, 35942.65
268435456, 8192, 16, Sequential Write, 5.04, 4061.82
268435456, 8192, 16, Random Read, 0.83, 24724.34
268435456, 8192, 16, Random Write, 2.21, 9264.55
268435456, 2097152, 16, Sequential Read, 1.21, 16888.93
268435456, 2097152, 16, Sequential Write, 2.70, 7583.92
268435456, 2097152, 16, Random Read, 1.22, 16849.06
268435456, 2097152, 16, Random Write, 2.41, 8500.85
268435456, 1024, 32, Sequential Read, 9.42, 4349.75
268435456, 1024, 32, Sequential Write, 67.44, 607.38
268435456, 1024, 32, Random Read, 11.98, 3419.91
268435456, 1024, 32, Random Write, 201.70, 203.08
268435456, 2048, 32, Sequential Read, 1.21, 33944.96
